indicador,unidade,valor,uf_codigo,uf_nome,variavel_codigo,variavel,periodo_codigo,periodo,categoria_codigo,categoria,categoria2_codigo,categoria2
cor_raca,%,,12,Acre,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,4110.0,13,Amazonas,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,13,Amazonas,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,13,Amazonas,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,13,Amazonas,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,621.0,14,Roraima,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,14,Roraima,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,14,Roraima,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,14,Roraima,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,8603.0,15,Pará,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,15,Pará,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,15,Pará,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,15,Pará,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,794.0,16,Amapá,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,16,Amapá,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,16,Amapá,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,16,Amapá,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,1558.0,17,Tocantins,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,17,Tocantins,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,17,Tocantins,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,17,Tocantins,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,6968.0,21,Maranhão,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,21,Maranhão,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,21,Maranhão,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,21,Maranhão,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,3371.0,22,Piauí,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,22,Piauí,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,22,Piauí,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,22,Piauí,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,9205.0,23,Ceará,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,23,Ceará,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,23,Ceará,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,23,Ceará,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,3446.0,24,Rio Grande do Norte,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,24,Rio Grande do Norte,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,24,Rio Grande do Norte,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,24,Rio Grande do Norte,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,4112.0,25,Paraíba,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,25,Paraíba,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,25,Paraíba,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,25,Paraíba,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,9477.0,26,Pernambuco,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,26,Pernambuco,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,26,Pernambuco,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,26,Pernambuco,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,3212.0,27,Alagoas,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,27,Alagoas,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,27,Alagoas,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,27,Alagoas,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,Mil pessoas,2289.0,28,Sergipe,606,População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,0.0,28,Sergipe,6541,Coeficiente de variação - População,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,100.0,28,Sergipe,608,Percentual da população,202401,1º trimestre 2024,95251,Total,,
cor_raca,%,,28,Sergipe,6542,Coeficiente de variação - Percentual da população,202401,1º trimestre 2024,95251,Total,,
