estado,estado_codigo,termo,interesse,ano,grupo
Rio Grande do Sul,BR-RS,Tableau,10,2021,ferramentas
Rio de Janeiro,BR-RJ,Tableau,8,2021,ferramentas
Rondônia,BR-RO,Tableau,10,2021,ferramentas
Roraima,BR-RR,Tableau,0,2021,ferramentas
Santa Catarina,BR-SC,Tableau,9,2021,ferramentas
Sergipe,BR-SE,Tableau,7,2021,ferramentas
São Paulo,BR-SP,Tableau,16,2021,ferramentas
Tocantins,BR-TO,Tableau,11,2021,ferramentas
Acre,BR-AC,Apache Spark,0,2021,ferramentas
Alagoas,BR-AL,Apache Spark,0,2021,ferramentas
Amapá,BR-AP,Apache Spark,0,2021,ferramentas
Amazonas,BR-AM,Apache Spark,0,2021,ferramentas
Bahia,BR-BA,Apache Spark,0,2021,ferramentas
Ceará,BR-CE,Apache Spark,0,2021,ferramentas
Distrito Federal,BR-DF,Apache Spark,0,2021,ferramentas
Espírito Santo,BR-ES,Apache Spark,0,2021,ferramentas
Goiás,BR-GO,Apache Spark,0,2021,ferramentas
Maranhão,BR-MA,Apache Spark,0,2021,ferramentas
Mato Grosso,BR-MT,Apache Spark,0,2021,ferramentas
Mato Grosso do Sul,BR-MS,Apache Spark,0,2021,ferramentas
Minas Gerais,BR-MG,Apache Spark,0,2021,ferramentas
Paraná,BR-PR,Apache Spark,0,2021,ferramentas
Paraíba,BR-PB,Apache Spark,0,2021,ferramentas
Pará,BR-PA,Apache Spark,0,2021,ferramentas
Pernambuco,BR-PE,Apache Spark,1,2021,ferramentas
Piauí,BR-PI,Apache Spark,0,2021,ferramentas
Rio Grande do Norte,BR-RN,Apache Spark,0,2021,ferramentas
Rio Grande do Sul,BR-RS,Apache Spark,1,2021,ferramentas
Rio de Janeiro,BR-RJ,Apache Spark,0,2021,ferramentas
Rondônia,BR-RO,Apache Spark,0,2021,ferramentas
Roraima,BR-RR,Apache Spark,0,2021,ferramentas
Santa Catarina,BR-SC,Apache Spark,1,2021,ferramentas
Sergipe,BR-SE,Apache Spark,0,2021,ferramentas
São Paulo,BR-SP,Apache Spark,0,2021,ferramentas
Tocantins,BR-TO,Apache Spark,0,2021,ferramentas
Acre,BR-AC,dbt,0,2021,ferramentas
Alagoas,BR-AL,dbt,6,2021,ferramentas
Amapá,BR-AP,dbt,0,2021,ferramentas
Amazonas,BR-AM,dbt,2,2021,ferramentas
Bahia,BR-BA,dbt,8,2021,ferramentas
Ceará,BR-CE,dbt,3,2021,ferramentas
Distrito Federal,BR-DF,dbt,3,2021,ferramentas
Espírito Santo,BR-ES,dbt,1,2021,ferramentas
Goiás,BR-GO,dbt,3,2021,ferramentas
Maranhão,BR-MA,dbt,4,2021,ferramentas
Mato Grosso,BR-MT,dbt,3,2021,ferramentas
Mato Grosso do Sul,BR-MS,dbt,4,2021,ferramentas
Minas Gerais,BR-MG,dbt,2,2021,ferramentas
Paraná,BR-PR,dbt,3,2021,ferramentas
Paraíba,BR-PB,dbt,7,2021,ferramentas
Pará,BR-PA,dbt,2,2021,ferramentas
Pernambuco,BR-PE,dbt,3,2021,ferramentas
Piauí,BR-PI,dbt,6,2021,ferramentas
Rio Grande do Norte,BR-RN,dbt,4,2021,ferramentas
Rio Grande do Sul,BR-RS,dbt,4,2021,ferramentas
Rio de Janeiro,BR-RJ,dbt,2,2021,ferramentas
Rondônia,BR-RO,dbt,8,2021,ferramentas
Roraima,BR-RR,dbt,0,2021,ferramentas
Santa Catarina,BR-SC,dbt,2,2021,ferramentas
Sergipe,BR-SE,dbt,5,2021,ferramentas
São Paulo,BR-SP,dbt,1,2021,ferramentas
Tocantins,BR-TO,dbt,7,2021,ferramentas
Acre,BR-AC,Databricks,0,2021,ferramentas
Alagoas,BR-AL,Databricks,0,2021,ferramentas
Amapá,BR-AP,Databricks,0,2021,ferramentas
Amazonas,BR-AM,Databricks,0,2021,ferramentas
Bahia,BR-BA,Databricks,0,2021,ferramentas
Ceará,BR-CE,Databricks,1,2021,ferramentas
Distrito Federal,BR-DF,Databricks,2,2021,ferramentas
Espírito Santo,BR-ES,Databricks,2,2021,ferramentas
Goiás,BR-GO,Databricks,1,2021,ferramentas
Maranhão,BR-MA,Databricks,2,2021,ferramentas
Mato Grosso,BR-MT,Databricks,0,2021,ferramentas
Mato Grosso do Sul,BR-MS,Databricks,3,2021,ferramentas
Minas Gerais,BR-MG,Databricks,1,2021,ferramentas
Paraná,BR-PR,Databricks,1,2021,ferramentas
Paraíba,BR-PB,Databricks,3,2021,ferramentas
Pará,BR-PA,Databricks,0,2021,ferramentas
Pernambuco,BR-PE,Databricks,2,2021,ferramentas
Piauí,BR-PI,Databricks,0,2021,ferramentas
Rio Grande do Norte,BR-RN,Databricks,0,2021,ferramentas
Rio Grande do Sul,BR-RS,Databricks,2,2021,ferramentas
Rio de Janeiro,BR-RJ,Databricks,2,2021,ferramentas
Rondônia,BR-RO,Databricks,0,2021,ferramentas
Roraima,BR-RR,Databricks,0,2021,ferramentas
Santa Catarina,BR-SC,Databricks,2,2021,ferramentas
Sergipe,BR-SE,Databricks,0,2021,ferramentas
São Paulo,BR-SP,Databricks,4,2021,ferramentas
Tocantins,BR-TO,Databricks,0,2021,ferramentas
Acre,BR-AC,cientista de dados,0,2021,carreiras
Alagoas,BR-AL,cientista de dados,21,2021,carreiras
Amapá,BR-AP,cientista de dados,0,2021,carreiras
Amazonas,BR-AM,cientista de dados,16,2021,carreiras
Bahia,BR-BA,cientista de dados,14,2021,carreiras
Ceará,BR-CE,cientista de dados,19,2021,carreiras
Distrito Federal,BR-DF,cientista de dados,14,2021,carreiras
Espírito Santo,BR-ES,cientista de dados,12,2021,carreiras
Goiás,BR-GO,cientista de dados,16,2021,carreiras
Maranhão,BR-MA,cientista de dados,16,2021,carreiras
Mato Grosso,BR-MT,cientista de dados,14,2021,carreiras
Mato Grosso do Sul,BR-MS,cientista de dados,14,2021,carreiras
Minas Gerais,BR-MG,cientista de dados,17,2021,carreiras
Paraná,BR-PR,cientista de dados,14,2021,carreiras
Paraíba,BR-PB,cientista de dados,14,2021,carreiras
Pará,BR-PA,cientista de dados,17,2021,carreiras
Pernambuco,BR-PE,cientista de dados,17,2021,carreiras
Piauí,BR-PI,cientista de dados,12,2021,carreiras
Rio Grande do Norte,BR-RN,cientista de dados,10,2021,carreiras
Rio Grande do Sul,BR-RS,cientista de dados,12,2021,carreiras
Rio de Janeiro,BR-RJ,cientista de dados,15,2021,carreiras
Rondônia,BR-RO,cientista de dados,17,2021,carreiras
Roraima,BR-RR,cientista de dados,0,2021,carreiras
Santa Catarina,BR-SC,cientista de dados,13,2021,carreiras
Sergipe,BR-SE,cientista de dados,17,2021,carreiras
São Paulo,BR-SP,cientista de dados,12,2021,carreiras
Tocantins,BR-TO,cientista de dados,41,2021,carreiras
Acre,BR-AC,engenheiro de dados,0,2021,carreiras
Alagoas,BR-AL,engenheiro de dados,0,2021,carreiras
Amapá,BR-AP,engenheiro de dados,0,2021,carreiras
Amazonas,BR-AM,engenheiro de dados,5,2021,carreiras
Bahia,BR-BA,engenheiro de dados,5,2021,carreiras
Ceará,BR-CE,engenheiro de dados,4,2021,carreiras
Distrito Federal,BR-DF,engenheiro de dados,4,2021,carreiras
Espírito Santo,BR-ES,engenheiro de dados,5,2021,carreiras
Goiás,BR-GO,engenheiro de dados,4,2021,carreiras
Maranhão,BR-MA,engenheiro de dados,5,2021,carreiras
Mato Grosso,BR-MT,engenheiro de dados,5,2021,carreiras
Mato Grosso do Sul,BR-MS,engenheiro de dados,4,2021,carreiras
Minas Gerais,BR-MG,engenheiro de dados,5,2021,carreiras
Paraná,BR-PR,engenheiro de dados,5,2021,carreiras
Paraíba,BR-PB,engenheiro de dados,5,2021,carreiras
Pará,BR-PA,engenheiro de dados,4,2021,carreiras
Pernambuco,BR-PE,engenheiro de dados,4,2021,carreiras
Piauí,BR-PI,engenheiro de dados,0,2021,carreiras
Rio Grande do Norte,BR-RN,engenheiro de dados,0,2021,carreiras
Rio Grande do Sul,BR-RS,engenheiro de dados,3,2021,carreiras
Rio de Janeiro,BR-RJ,engenheiro de dados,4,2021,carreiras
