ano,faixa_idade,genero,estado,nivel_ensino,cargo_atual,faixa_salarial,tempo_experiencia_dados,linguagem_mais_usada,cor_raca_etnia
2021,25-29,Feminino,São Paulo (SP),Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,São Paulo (SP),Mestrado,,Acima de R$ 40.001/mês,de 4 a 5 anos,,
2021,45-49,Masculino,Rio de Janeiro (RJ),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,45-49,Masculino,Fora do Brasil,Mestrado,,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,,
2021,35-39,Masculino,São Paulo (SP),Mestrado,,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,,
2021,50-54,Masculino,Bahia (BA),Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,São Paulo (SP),Pós-graduação,,Acima de R$ 40.001/mês,de 4 a 5 anos,,
2021,30-34,Feminino,Minas Gerais (MG),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Pós-graduação,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,,
2021,35-39,Feminino,São Paulo (SP),Pós-graduação,,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,40-44,Feminino,São Paulo (SP),Pós-graduação,,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Pós-graduação,,de R$ 25.001/mês a R$ 30.000/mês,de 4 a 5 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,
